-1007537;61623
-1010892;52978
-1014173;44280
-1017378;35527
-1020508;26723
-1023562;17866
-1026538;8958
-1029437;0
-1032257;-9008
-1034998;-18066
-1037659;-27171
-1040241;-36325
-1042741;-45527
-1045159;-54774
-1047496;-64067
-1049750;-73405
-1051920;-82787
-1054006;-92213
-1056008;-101682
-1057924;-111192
-1059754;-120743
-1061499;-130335
-1063156;-139966
-1064726;-149637
-1066208;-159346
-1067601;-169091
-1068905;-178873
-1070119;-188691
-1071243;-198543
-1072277;-208429
-1073220;-218348
-1074070;-228301
-1074829;-238283
-1075495;-248297
-1076068;-258341
-1076548;-268413
-1076932;-278513
-1077223;-288640
-1077418;-298794
-1077518;-308973
-1077523;-319177
-1077432;-329404
-1077243;-339654
-1076958;-349924
-1076575;-360216
-1076094;-370528
-1075516;-380860
-1074838;-391209
-1074061;-401575
-1073186;-411957
-1072211;-422354
-1071135;-432766
-1069960;-443191
-1068684;-453629
-1067307;-464078
-1065829;-474537
-1064249;-485005
-1062568;-495484
-1060785;-505968
-1058899;-516460
-1056911;-526957
-1054820;-537458
-1052627;-547962
-1050329;-558470
-1047929;-568978
-1045424;-579487
-1042817;-589997
-1040105;-600504
-1037289;-611010
-1034368;-621511
-1031343;-632009
-1028214;-642499
-1024980;-652984
-1021641;-663461
-1018196;-673929
-1014647;-684389
-1010993;-694836
-1007233;-705272
-1003369;-715696
-999398;-726105
-995322;-736499
-991141;-746879
-986855;-757241
-982462;-767584
-977964;-777907
-973361;-788211
-968652;-798494
-963837;-808754
-958917;-818993
-953892;-829206
-948761;-839393
-943525;-849553
-938183;-859687
-932737;-869793
-927186;-879866
-921529;-889911
-915769;-899922
-909902;-909902
-903931;-919846
-897856;-929757
-891677;-939632
-885394;-949468
-879006;-959266
-872515;-969025
-865920;-978746
-859223;-988422
-852422;-998057
-845517;-1007648
-838510;-1017195
-831401;-1026696
-824191;-1036150
-816878;-1045555
-809464;-1054913
-801948;-1064221
-794331;-1073477
-786614;-1082680
-778796;-1091832
-770879;-1100930
-762862;-1109972
-754746;-1118957
-746532;-1127885
-738216;-1136754
-729806;-1145566
-721297;-1154316
-712689;-1163004
-703987;-1171631
-695187;-1180192
-686291;-1188691
-677300;-1197124
-668213;-1205490
-659033;-1213789
-649759;-1222018
-640389;-1230177
-630930;-1238266
-621375;-1246285
-611729;-1254230
-601991;-1262101
-592163;-1269899
-582245;-1277618
-572235;-1285266
-562138;-1292831
-551953;-1300319
-541679;-1307728
-531317;-1315058
-520871;-1322303
-510334;-1329470
-499715;-1336550
-489011;-1343547
-478223;-1350459
-467350;-1357285
-456395;-1364025
-445359;-1370673
-434240;-1377233
-423040;-1383708
-411762;-1390088
-400404;-1396376
-388968;-1402573
-377454;-1408676
-365861;-1414683
-354196;-1420599
-342451;-1426416
-330636;-1432136
-318741;-1437758
-306779;-1443283
-294742;-1448707
-282634;-1454030
-270455;-1459252
-258209;-1464375
-245892;-1469391
-233509;-1474304
-221055;-1479115
-208538;-1483821
-195954;-1488419
-183306;-1492907
